ID	Rack	Pos	PopID	Mom	Indiv	Origin	Treat
RO003.15.c	5	29	RO003	15	c	nat	control
RO003.15.e	42	37	RO003	15	e	nat	allo
RO003.15.f	19	8	RO003	15	f	nat	drought
RO003.15.g	26	7	RO003	15	g	nat	nut def
RO003.15.h	22	45	RO003	15	h	nat	allo
RO003.15.i	14	8	RO003	15	i	nat	flood
RO003.15.j	41	35	RO003	15	j	nat	cut
RO003.15.k	32	36	RO003	15	k	nat	allo
RO003.21.a	45	32	RO003	21	a	nat	flood
RO003.21.b	12	17	RO003	21	b	nat	control
RO003.21.c	17	14	RO003	21	c	nat	drought
RO003.21.d	24	41	RO003	21	d	nat	control
RO003.21.e	10	20	RO003	21	e	nat	cut
RO003.21.g	25	39	RO003	21	g	nat	control
RO003.21.h	28	24	RO003	21	h	nat	allo
RO003.21.i	40	41	RO003	21	i	nat	control
RO003.21.j	7	33	RO003	21	j	nat	control
RO003.21.k	44	21	RO003	21	k	nat	control
RO003.4.a	46	33	RO003	4	a	nat	drought
RO003.4.b	50	21	RO003	4	b	nat	drought
RO003.4.c	49	1	RO003	4	c	nat	nut def
RO003.4.d	20	30	RO003	4	d	nat	nut def
RO003.4.e	47	46	RO003	4	e	nat	nut def
RO003.4.f	15	32	RO003	4	f	nat	allo
RO003.4.g	31	46	RO003	4	g	nat	allo
RO003.4.h	1	17	RO003	4	h	nat	drought
RO003.4.i	29	47	RO003	4	i	nat	control
RO003.4.j	39	46	RO003	4	j	nat	flood
RO003.9.a	35	20	RO003	9	a	nat	flood
RO003.9.b	37	4	RO003	9	b	nat	drought
RO003.9.c	3	24	RO003	9	c	nat	flood
RO003.9.d	33	24	RO003	9	d	nat	cut
RO003.9.e	4	5	RO003	9	e	nat	cut
RO003.9.f	16	34	RO003	9	f	nat	cut
RO003.9.g	6	27	RO003	9	g	nat	control
RO003.9.i	34	41	RO003	9	i	nat	control
RO003.9.j	13	18	RO003	9	j	nat	nut def
RO003.9.m	9	19	RO003	9	m	nat	control
RO004.12.a	13	17	RO004	12	a	nat	nut def
RO004.12.b	45	2	RO004	12	b	nat	flood
RO004.12.c	39	10	RO004	12	c	nat	flood
RO004.12.d	21	40	RO004	12	d	nat	allo
RO004.12.e	8	22	RO004	12	e	nat	allo
RO004.12.f	26	38	RO004	12	f	nat	nut def
RO004.12.g	1	47	RO004	12	g	nat	drought
RO004.12.h	14	9	RO004	12	h	nat	flood
RO004.12.i	36	30	RO004	12	i	nat	nut def
RO004.12.j	5	39	RO004	12	j	nat	control
RO004.13.a	12	9	RO004	13	a	nat	control
