ID	1stWilt	TotWilt	1stYellow	Death	FloatDate	1stBoltDate	BoltMsrDate	Bolt1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	Bolt2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	Bolt3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor
TR004.14.a			6	21	12															
TR004.27.f			6																	
TR004.8.f			5	12	12															
TR004.8.h			15																	
TR004.27.a																				
TR004.14.j			15																	
TR004.14.f			16																	
TR004.8.b			14																	
TR005.20.h						69									69	2	36	33	84	
TR005.9.d																				
TR005.18.h																				
TR005.9.f																				
TR005.20.d																				
TR005.20.c																				
TR005.18.d																				
TR005.18.a																				
TR005.20.g																				
TR005.9.b																				
TR005.20.b	3	5		13																
TR005.18.n	5	7		16																
TR005.20.f	3	7		16																
TR005.18.i	5	8		20																
TR005.18.l	3	6		19																
TR005.9.e			8	15	13															
TR005.18.k			6	30																
TR005.20.i			7	19	13															
TR005.20.a			6	12	12															
TR005.9.c			16																	
TR005.18.f			14																	
TR005.20.e			15																	
TR005.18.g			15																	
TR005.9.a			14																	
TR005.18.j			14																	
UA001.11.g																				
UA001.18.e						69									69	1	34			
UA001.25.c						69									69	1	38.5			
UA001.18.f																				
UA001.19.a																				
UA001.11.h																				
UA001.11.c																				
UA001.22.g						69									69	1	3			
UA001.11.f																				
UA001.18.d																				
UA001.25.a			15																	
UA001.22.c																				
UA001.25.f																				
UA001.11.a						53					53	1	24.5		69	1	39			
UA001.11.b	5	6		13																
UA001.18.g	3	5		12																
UA001.25.d	4	6		12																
UA001.25.g			8	20	14															
UA001.11.d			6	20	19															
UA001.22.e			5	21	19															
UA001.25.b			6	20																
UA001.22.a			14																	
UA001.25.h			16																	
UA001.11.e			15																	
UA001.18.b			15																	
UA001.22.d			15																	
UA002.18.d																				
UA002.15.d																				
UA002.15.j																				
UA002.13.a																				
UA002.15.f																				
UA002.18.c																				
UA002.14.d																				
UA002.13.b																				
UA002.18.e																				
UA002.15.h																				
UA002.13.e																				
UA002.15.i	2	3		12																
UA002.14.b	1	3		8																
UA002.18.b	3	4		12																
UA002.14.c	4	6		12																
UA002.15.c	4	6		13																
UA002.13.d			7	19	17	13														
UA002.18.f			7	18																
UA002.15.e			7																	
UA002.13.c			15																	
UA002.14.a			14																	
UA002.15.a			14																	
UA002.15.g			14																	
UA002.15.b			15																	
UA003.8.h																				
#VALUE!																				
#VALUE!																				
UA003.8.i																				
#VALUE!																				
#VALUE!						69									69	1	76			
#VALUE!																				
#VALUE!																				
UA003.6.d																				
#VALUE!																				
#VALUE!																				
UA003.8.j																				
UA003.6.f																				
#VALUE!																				
#VALUE!																				
UA003.8.a																				
UA003.9A.a																				
UA003.6.j																				
UA003.7A.e						69									69	1	3.5			
UA003.9A.f																				
UA003.8.g																				
UA003.6.i	4	6		13																
UA003.8.f	8	10		13																
UA003.7A.b	3	5		14																
UA003.6.a	3	5		14																
UA003.6.b	1	3		4																
UA003.7A.j	3	4		12																
UA003.7A.g	5	6		13																
UA003.9A.h			8	15																
UA003.11A.c			6	19	15															
UA003.7A.a			6	29	30															
UA003.7A.f			5	19	17															
UA003.8.d			8	14	12															
UA003.7A.c			6	18	17															
UA003.6.h			5	12																
UA003.9A.c			14																	
UA003.6.e			14																	
UA003.8.c			14																	
UA003.6.g			14																	
UA003.11A.i			15																	
UA003.11A.d			14																	
UA003.9A.g			14																	
UA004.27.j																				
UA004.27.e																				
UA004.18.h																				
UA004.27.c																				
UA004.27.h																				
UA004.5.e																				
UA004.18.d																				
UA004.15.d																				
UA004.15.f																				
UA004.27.b																				
UA004.15.b																				
UA004.7.h																				
UA004.15.g																				
UA004.5.f																				
UA004.18.i																				
UA004.15.h																				
UA004.5.a			15																	
UA004.18.b																				
UA004.27.g			15																	
UA004.7.e						53					53	1	3.9		69	1	13.5			
UA004.7.g																				
UA004.15.i	4	6		12																
UA004.27.d	1	3		11																
UA004.7.c	1	4		12																
UA004.27.a	3	4		8																
UA004.18.g	4	7		12																
UA004.7.b	2	5		11																
UA004.5.h	2	6		12																
UA004.15.j			7	21	20															
UA004.5.b			5	21	20															
UA004.18.e			5	17																
UA004.5.c			7	21	20															
UA004.5.j			6																	
UA004.18.c			7	20																
UA004.7.a			5	12	12															
UA004.7.f			14																	
UA004.15.c			14																	
UA004.15.a			16																	
UA004.27.f			14																	
UA004.5.d			16																	
UA004.5.i			16																	
UA005.18.c						69									69	1	12.5			
UA005.7.a																				
UA005.7.b																				
UA005.18.d																				
UA005.15.c																				
UA005.3.c																				
UA005.18.h																				
UA005.3.e																				
UA005.7.f																				
UA005.7.d						18	18	1	8.3		39	1	36.8		69	1	40.5		74	white
UA005.15.a																				
UA005.3.b			15																	
UA005.18.e																				
UA005.15.e						53					53	1	17.5		69	1	37			
UA005.7.e																				
UA005.18.b																				
UA005.7.c	1	4		7																
UA005.18.f	3	4		11																
UA005.13.a	2	4		9																
UA005.3.a	5	8		11																
UA005.15.f			8		20															
UA005.18.g			6	25																
UA005.7.g			6	29	25															
UA005.13.b			14																	
UA005.18.i			14																	
UA005.7.i			16																	
UA005.18.j			15																	
UA005.7.h			15																	
UA006.22.a						69									69	1	37			
UA006.10.b																				
UA006.14.g																				
UA006.14.d						39					39	1	14.5		69	1	22.5		74	white
UA006.14.j																				
UA006.14.e						50					50	1	26		69	1	32.6			
UA006.14.b																				
UA006.22.b																				
UA006.10.d																				
UA006.14.k	4	8		12																
UA006.24.a	3	6		12																
UA006.10.e	3	7		14																
UA006.24.h			5	17																
UA006.10.a			7	16	13															
UA006.14.c			5	11	11															
UA006.14.i			5	14	12															
UA006.10.c			14																	
UA006.14.a			14																	
UA006.24.b			14																	
UA007.20.d																				
UA007.19.c																				
UA008.13.a																				
UA008.25.b																				
UA008.18.a																				
UA008.13.h																				
UA008.13.g																				
UA008.18.h																				
UA008.13.i																				
UA008.18.e																				
UA008.25.h						53					53	1	5.5		69	1	45			
UA008.18.g	6	8		15																
UA008.13.f	5	9		12																
UA008.25.d	5	9		12																
UA008.25.a			7	12																
UA008.13.d			5	21																
UA008.13.e			7	22	13															
UA008.18.d			7	14																
UA008.18.f			15																	
UA008.24.a			15																	
UA008.18.b			16																	
UA008.13.j			15																	
US001.20.b																				
US001.23.c																				
US001.20.c																				
US001.14.c																				
US001.20.j																				
