Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log
US021.8.i	2	13	US021	8	i	inv	nut def	US021.8.i	78	16	14.6	3.6	n	78	7.19	2.058	3.142	13	17.1	6.2	y	NA	12	16.5	5.2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.80336038090653	1.64865862558738	3.60555127546399	2.83907846350861	1.82454929205105	4	2.68102152871429	1.28093384546206	1.97269117173296	0.721734637411858	1.14485953983343
GR002.25.g	2	14	GR002	25	g	nat	nut def	GR002.25.g	78	11	16.6	3.9	n	78	4.34	0.761	2.114	11	18.7	3.4	y	NA	10	12.6	3.7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.53369681395743	1.30833281965018	3.3166247903554	2.92852352386054	1.22377543162212	3.3166247903554	2.8094026953625	1.3609765531356	1.46787434811231	-0.273121921120451	0.748581887448046
TR001.1.f	2	15	TR001	1	f	nat	nut def	TR001.1.f	78	11	25.6	7.3	n	78	5.83	1.344	2.609	12	25.4	7.2	y	NA	11	19.3	5.3	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.96010509591084	1.66770682055808	3.46410161513775	3.23474917402449	1.97408102602201	3.3166247903554	3.24259235148552	1.98787434815435	1.7630170003624	0.295650242100958	0.958967006154591
GR003.12.b	2	16	GR003	12	b	nat	nut def	GR003.12.b	78	15	17.7	4.3	n	78	5.44	1.006	1.644	14	17.4	4.3	y	NA	8	14.5	2.4	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.82842712474619	2.67414864942653	0.8754687373539	3.74165738677394	2.85647020622048	1.45861502269952	3.87298334620742	2.87356463957978	1.45861502269952	1.69377906086785	0.00598207167754747	0.497132296633988
RO004.21.a	2	17	RO004	21	a	nat	nut def	RO004.21.a	78	16	15.4	3.5	n	78	6.98	1.421	1.814	17	15.5	3.6	y	NA	11	13.5	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.60268968544438	0.916290731874155	4.12310562561766	2.7408400239252	1.28093384546206	4	2.73436750941958	1.25276296849537	1.94304891677428	0.351360849114964	0.595534351692945
RO001.13.h	2	18	RO001	13	h	nat	nut def	RO001.13.h	78	20	16.4	4.7	n	78	6.28	1.496	3.476	14	17.2	3.9	y	NA	10	13.7	2.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.61739583283408	0.993251773010283	3.74165738677394	2.84490938381941	1.3609765531356	4.47213595499958	2.79728133483015	1.54756250871601	1.83736998048011	0.402794879552285	1.24588220740315
RU008.17.d	2	19	RU008	17	d	nat	nut def	RU008.17.d	78	13	19.1	7.4	n	78	5.06	1.458	2.508	13	20.7	5.4	y	NA	10	15.4	5.9	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.73436750941958	1.77495235091167	3.60555127546399	3.03013370027132	1.68639895357023	3.60555127546399	2.94968833505258	2.00148000021012	1.62136648329937	0.377065633586466	0.919485622770674
CA001.6.k	2	20	CA001	6	k	inv	nut def	CA001.6.k	78	14	20.7	3.7	n	78	6.1	1.304	2.757	11	21.9	5.5	y	NA	11	21.9	5.2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	3.08648663682246	1.64865862558738	3.3166247903554	3.08648663682246	1.70474809223843	3.74165738677394	3.03013370027132	1.30833281965018	1.80828877117927	0.265436463504461	1.01414313204166
RO002.22.j	2	21	RO002	22	j	nat	nut def	RO002.22.j	78	15	13.3	5.2	n	78	6.21	1.322	2.685	14	14.4	4.4	y	NA	9	13.2	3.8	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.58021682959233	1.33500106673234	3.74165738677394	2.66722820658195	1.48160454092422	3.87298334620742	2.58776403522771	1.64865862558738	1.82616089594539	0.279145741429495	0.987680727960828
UA001.22.a	2	24	UA001	22	a	nat	nut def	UA001.22.a	78	23	18.2	4.9	n	78	5.45	1.498	2.537	17	18.4	5.8	y	NA	9	15.1	4.3	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.71469474382088	1.45861502269952	4.12310562561766	2.91235066461494	1.75785791755237	4.79583152331272	2.90142159408275	1.58923520511658	1.69561560867515	0.404130885095028	0.930982280617145
