PopID	Pos	Mom	Indiv	Origin	Rack	Trt	ID	FRack	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	Latitude	Longitude
66	RO003	8	15	i	nat	14	flood	RO003.15.i	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	18	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		13	12	3	3.60555127546399	2.484906649788	1.09861228866811	NA	NA	NA	NA	NA	NA	44.3896666666667	28.5266388888889
67	RO003	8	15	a	nat	23	flood	RO003.15.a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	17	16	FLOAT-16	NA	NA	NA	NA	NA	NA	NA	NA		10	12.8	2.7	3.16227766016838	2.54944517092557	0.993251773010283	NA	NA	NA	NA	NA	NA	44.3896666666667	28.5266388888889
68	RO004	12	21	g	nat	35	flood	RO004.21.g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	16	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		10	11	2.5	3.16227766016838	2.39789527279837	0.916290731874155	NA	NA	NA	NA	NA	NA	45.5761833333333	29.51805
69	RO004	45	21	f	nat	3	flood	RO004.21.f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		12	10.2	2	3.46410161513775	2.32238772029023	0.693147180559945	NA	NA	NA	NA	NA	NA	45.5761833333333	29.51805
70	RO004	3	20	c	nat	43	flood	RO004.20.c	F2	71	4	17	4.9	y	91	6.91	2.246	0.58	5	25	24	F2-3	69	NA	NA	NA	69	1	33.5	NA		11	20.5	3.5	3.3166247903554	3.02042488614436	1.25276296849537	2	2.83321334405622	1.58923520511658	1.93296963777958	0.809150856316251	-0.544727175441672	45.5761833333333	29.51805
71	RO004	4	3	d	nat	23	flood	RO004.3.d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	NA		NA	NA	NA	NA	NA	NA	NA	NA		13	14	2.6	3.60555127546399	2.63905732961526	0.955511445027436	NA	NA	NA	NA	NA	NA	45.5761833333333	29.51805
72	RO004	2	12	b	nat	45	flood	RO004.12.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	17	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		11	16	2.6	3.3166247903554	2.77258872223978	0.955511445027436	NA	NA	NA	NA	NA	NA	45.5761833333333	29.51805
73	RO004	9	12	h	nat	14	flood	RO004.12.h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	11	NA		NA	NA	NA	NA	NA	NA	NA	NA		11	9.5	2	3.3166247903554	2.2512917986065	0.693147180559945	NA	NA	NA	NA	NA	NA	45.5761833333333	29.51805
74	RO004	10	12	c	nat	39	flood	RO004.12.c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	19	NA		NA	NA	NA	NA	NA	NA	NA	NA		14	13	3	3.74165738677394	2.56494935746154	1.09861228866811	NA	NA	NA	NA	NA	NA	45.5761833333333	29.51805
75	RO005	2	15	d	nat	23	flood	RO005.15.d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	25	19	FLOAT-19	NA	NA	NA	NA	NA	NA	NA	NA		10	14.6	2.7	3.16227766016838	2.68102152871429	0.993251773010283	NA	NA	NA	NA	NA	NA	45.4978611111111	27.9118055555556
76	RO005	48	14	b	nat	39	flood	RO005.14.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	17	16	FLOAT-16	NA	NA	NA	NA	NA	NA	NA	NA		10	14	3	3.16227766016838	2.63905732961526	1.09861228866811	NA	NA	NA	NA	NA	NA	45.4978611111111	27.9118055555556
77	RO005	31	17	f	nat	43	flood	RO005.17.f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	15	13	FLOAT-13	NA	NA	NA	NA	NA	NA	NA	NA		9	9.4	2.2	3	2.24070968927596	0.78845736036427	NA	NA	NA	NA	NA	NA	45.4978611111111	27.9118055555556
