ID	LfCount2	MaxLfLgth2	MaxLfWdth2	LfYellow	BoltHtm2
CA001.6.i	14	20.6	6.2	y	
CA008.6.f	11	28.5	7.1	y	
US017.36.e	11	11.1	2.5	n	
RO002.22.d	14	24.1	3.5	n	
UA005.18.h	20	19.5	4.3	n	
RU008.18.h	17	20.2	7.3	n	
TR004.18.d	13	25.4	5	n	
US021.8.c	17	25.8	6.5	y	
UA003.11A.b	13	31.6	4.8	y	
UA001.11.h	17	21.1	5	y	
GR002.25.d	12	27.5	4.2	n	
US014.16.j	16	19.7	5.4	y	
GR003.10.g	14	20.3	4.6	n	28.5
US020.24.c	18	25.6	4	y	
US015.17.k	14	23.4	4.4	y	
TR001.12.d	14	32.5	4.5	n	
US003.6.h	12	24.2	7.8	n	
RO005.17.i	14	25.5	5.1	y	
RO003.21.d	12	18.8	4.8	y	
US023.12.a	10	16.2	3.2	n	
BG001.16.j	17	18	3.2	n	
HU001.24.j	15	18.2	5	y	
RO004.13.m	17	21.3	3.7	y	
US022.23.d	15	26.8	4.9	y	
US026.3.b	15	22.1	3.2	n	
UA004.15.d	17	26.2	4.7	n	
RO004.13.c	13	18.1	4.5	y	
GR001.24.d	12	18.6	4.6	n	
US021.8.j	16	17	3.7	n	
TR005.20.d	9	24.3	6.6	y	
UA005.3.e	9	26.1	5.2	y	
RO002.15.h	10	18.5	3.1	n	
US014.17.f	12	7.3	5.4	n	
CA008.5.c	13	28.5	4.3	n	
US001.20.i	13	27.6	5.6	y	
US002.24.g	15	26.1	7.1	n	
RU008.16.a	17	20	4.8	n	
CA001.7.d	16	17.3	4.1	n	
US012.28.c	11	21.7	6.5	n	
HU001.5.d	14	34.2	5.6	n	
US003.28.a	15	23.9	5.7	y	
RO005.23.c	14	22	3.1	n	
US020.42.f	14	22.5	6.1	n	
RU003.1.a	13	20.7	5.3	y	
UA003.6.d	13	27.2	4.5	y	
UA001.11.c	11	21.5	4.3	y	
TR001.24.c	12	21.6	4.8	n	
RU004.9.a	12	29.8	6.1	n	
RO003.21.g	13	24.9	5.7	n	
GR003.17.h	15	25.9	5.1	y	
US015.15.j	12	21	5.4	n	
RO001.28.f	16	17.6	3.9	n	
US022.31.a	13	22.5	5.6	y	
BG001.29.e	17	18.1	3.9	n	
UA002.15.f	16	25.8	7.1	y	
UA004.15.f	19	19	4.4	y	
TR003.24.i	11	12.5	4	y	
US001.3.e	11	15.5	2.2	y	
US022.23.i	14	17.2	2.4	y	
RO003.15.g	13	14.5	4.2	y	
RU001.9.b	15	14.5	3.4	y	
RU002.1.c	16	15	3.6	y	
UA003.8.c	12	23.1	2.6	y	
RO002.15.d	17	15.8	2.8	y	
RU008.16.c	10	17	3.8	y	
US002.24.c	16	18.6	4.9	y	
RO005.14.j	12	19.9	4	y	
UA006.14.a	12	18.1	3.8	y	
RU005.7.e	16	17.1	3.7	y	
CA001.3.b	10	16.3	5.1	n	
GR001.28.f	13	18.4	4.2	y	
TR001.12.e	14	18.1	4.6	y	
UA005.13.b	17	15.9	4.2	y	
RO001.13.g	15	20.2	3.7	y	
GR002.8.g	10	16.5	3.4	n	
BG001.22.d	15	17.5	3.6	y	
US014.20.a	12	16.3	4.9	y	
UA001.11.e	12	22.4	4.9	y	
US023.26.a	12	18.6	5.7	y	
UA004.15.a	16	18	5.1	y	
TR005.20.e	16	18	4.5	y	
US020.27.a	31	15	5.1	y	
RO004.12.f	19	19.8	3.8	y	
RU003.1.c	13	18.1	4.6	y	
UA002.15.a	13	18.7	4.8	y	
UA008.24.a	14	14.8	3.2	y	
US003.19.h	10	11.5	2.9	y	
US012.28.f	12	16	4.4	y	
RU004.8.b	14	14.5	3.5	y	
HU001.5.l	15	15.9	3.7	y	
US002.5.f	10	14	4.4	y	
GR003.12.a	14	16.9	2.7	y	
BG001.17.g	18	14.6	3.7	y	
TR001.1.b	11	17.1	3.6	n	
US003.20.i	17	18.8	5.1	y	
RO004.21.j	18	17.2	3.4	y	
US015.17.b	12	14.3	4.4	y	
RO005.14.f	11	18.6	4.2	y	
UA005.18.i	14	16.4	5.5	y	
TR004.27.a	12	16.3	4.3	y	
CA001.7.e	9	14.2	4.1	y	
US022.17.d	15	15.2	5.2	y	
RU003.7.b	14	18.1	3.6	y	
CA008.4.c	15	18.1	6.7	y	
US014.22.c	11	17.7	4.8	y	
US001.3.f	17	18	6.2	y	
RU001.7.a	15	15	3.5	y	
GR002.13.d	14	16.9	4.6	y	
US012.29.h	12	18.5	4.5	y	
GR001.6.f	8	16.6	5.2	y	
RO003.11.b	13	14.5	4.8	y	
RU008.17.i	11	15.3	2.2	y	
UA004.27.f	17	15.4	2.7	y	
UA008.18.b	11	18.6	3.9	n	
UA003.6.g	8	18.5	6.4	y	
RO001.21.h	15	14.1	3.2	y	
UA002.15.g	14	16.5	3.7	y	
UA001.18.b	18	13.6	3.8	y	
HU001.14.c	18	17	4.7	y	
TR003.2.b	12	15.5	1.2	y	
TR004.18.a	41	17.5	4.6	y	
US021.1.a	14	19.7	7.1	y	
RO001.28.a	11	19	5.1	y	
UA002.18.c	16	24.6	4.8	y	
US014.16.i	14	21.6	5.2	y	
RU008.16.b	21	19.1	4.9	y	
US011.8.c	17	23	6.6	y	
US003.27.g	11	22	4.5	y	
CA001.4.a	15	26	4.9	n	
RU003.4.b	25	22.6	5.2	y	
TR001.19.h	6	24.6	6.6	n	3.5
TR005.20.c	7	19.9	3.1	n	
HU001.28.m	16	29.5	8.9	y	
UA006.14.g	11	19.8	4.8	y	
BG001.17.f	21	25.2	4.6	y	
US001.22.c	14	23.1	6.8	y	
GR002.13.a	16	34.3	5.3	y	
UA008.13.h	11	30.6	5.6	y	
RO002.13.g	15	21.4	5	y	
UA005.7.f	18	22.5	4.9	y	
RO005.25.d	11	23.2	4.1	y	
UA003.11A.h	16	25	6.3	y	
GR003.17.a	8	26.1	5.7	y	33.5
UA004.27.b	19	29.1	6.5	y	
US022.31.c	18	24.8	5.7	y	
RO004.13.g	17	31	4.9	y	
RO003.4.i	22	21.8	4.3	y	
RU001.7.f	19	25.2	4.7	y	
US002.1.j	19	22.4	3.5	y	
TR004.8.g	24	20	4.2	y	
GR001.24.f	13	17.8	4.6	n	
RO001.6.e	16	20	4.9	y	
GR003.9.c	17	21.9	4.5	n	
TR005.18.d	18	23	5	n	
RU001.9.c	18	27	4.6	y	
RO002.12.b	13	22.9	3.7	y	
US001.20.h	18	18.4	5.3	y	
US021.3.b	16	31.4	5.7	y	
HU001.24.i	14	33.3	5.9	n	
UA004.15.b	24	20.6	3.6	y	
GR002.2.g	14	23.1	3.8	y	
RO005.25.b	23	20.6	6.4	n	
BG001.22.f	28	22.7	3.4	y	
RU008.21.g	23	25.1	4.4	y	
RO004.13.i	19	24.3	5.6	y	
RO003.11.g	15	23.3	4	y	
US022.23.f	22	20.3	4.6	y	
RU002.2.a	18	27.2	5.4	y	
US015.13.f	18	26.6	4.5	n	
US003.6.a	13	32.5	3.2	y	
UA001.22.g	14	30.1	4.2	n	
CA008.6.a	12	15.1	4.8	n	
CA001.4.g	15	19.5	2.8	y	
TR001.10.b	15	24.9	4.7	n	
US002.1.b	19	23.5	2.8	y	
UA003.11A.g	12	31.9	3.9	y	
US014.17.b	17	21	3.9	n	
RU002.1.f	26			n	
RO005.15.i	15			n	
GR001.14.i	13			n	
TR004.14.i	12			n	
RU008.19.b	20			n	
RU001.2.g	21			n	
CA001.6.a	18			n	
BG001.25.f	19			n	
US014.16.f	14			n	
US001.22.h	22			n	
UA005.15.e	14			n	
US026.35.a	12			n	
TR001.12.c	15			n	
RO003.9.d	17			n	
RU003.3.d	18			n	
RU004.6.b	17			n 	
RO001.13.i	16			n	
UA003.7A.e	13			n	
UA004.27.g	19			n	
GR003.10.d	16			n	
RO002.12.g	16			n	
RO004.13.h	22			n	
TR003.6.a	12			n	
US002.22.a	18			n	
UA008.25.h	13			n	
HU001.14.d	21			n	
US012.28.e	8			n	
US003.20.g	16			n	
CA008.4.b	17			n	
GR002.8.a	16			n	
US003.27.b	15	20.4	5.9	n	
UA005.7.d	16	22.7	4.6	n	8.3
RU008.21.e	19	22.4	5.3	y	
TR003.24.c	6	18.7	2.4	n	
UA003.8.j	17	37.9	5.5	y	
US002.22.d	18	17.5	6.2	y	
TR001.12.f	12	21.2	6.3	y	
US015.3.e	17	22.7	5.1	y	
UA004.7.h	20	24.8	6.8	y	
GR001.28.g	7	20	3.8	y	21
UA006.14.d	17	19.9	4.9	y	
UA001.11.f	15	26.4	5.1	y	
UA008.13.g	12	24	5.6	y	
RO005.23.h	17	20.9	5.1	y	
US022.23.h	11	18.7	5.1	y	
GR002.13.b	12	21.6	3.7	n	
RO001.28.c	15	17.9	5.8	y	
RU001.7.h	12	22.9	5.7	n	
BG001.17.e	16	23.8	4.7	y	
HU001.14.b	16	25.5	8.7	y	
RO003.9.i	15	15.4	3.5	y	
CA001.6.e	15	18.2	4.9	y	
GR003.12.i	13	21.2	4.1	y	
RO002.15.i	16	15	4.1	y	
RO004.21.c	18	16.6	2.8	n	
US001.14.j	14	15.2	4.5	n	
RO002.22.a	15	14	5.9	y	
US003.6.b	11	21.4	6.1	y	
TR005.18.g	11	21.7	4.6	y	
US014.20.b	12	17.4	4.6	y	
UA008.13.j	9	20.5	4.2	y	
UA004.5.d	18	18.2	4.2	y	
RU008.19.i	17	16.6	4.1	y	
US020.42.d	12	17.3	3.9	y	
CA001.3.a	15	21	6.2	y	
