PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log	Latitude	Longitude	bolt.bin
61	RO003	16	34	9	f	nat	cut	RO003.9.f	77	18	y	77	7.07	0.917	18	n	NA	8	13.6	2.7	NA	NA	53	NA	NA	NA	53	4.3	NA	69	1	32	NA			2.82842712474619	2.61006979274201	0.993251773010283	4.24264068711928	4.24264068711928	1.95586047990848	-0.0866478067256722	44.3896666666667	28.5266388888889	1
62	RO003	38	9	11	f	nat	cut	RO003.11.f	76	35	n	76	7.43	1.013	18	n	NA	10	14.6	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.68102152871429	1.28093384546206	4.24264068711928	5.91607978309962	2.00552585872967	0.0129162252665462	44.3896666666667	28.5266388888889	0
63	RO003	33	24	9	d	nat	cut	RO003.9.d	76	15	y	76	6.69	0.948	17	n	NA	11	12.2	2.3	NA	NA	53	NA	NA	NA	53	1	27.7	69	1	33.5	NA			3.3166247903554	2.50143595173921	0.832909122935104	4.12310562561766	3.87298334620742	1.90061387414014	-0.0534007767271153	44.3896666666667	28.5266388888889	1
64	RO003	11	34	11	e	nat	cut	RO003.11.e	77	0	y	77	6.08	0.72	20	n	NA	9	14.2	3.5	NA	NA	29	NA	NA	NA	39	1	28.4	69	1	37	NA			3	2.65324196460721	1.25276296849537	4.47213595499958	0	1.80500469597808	-0.328504066972036	44.3896666666667	28.5266388888889	1
65	RO003	10	20	21	e	nat	cut	RO003.21.e	76	30	n	76	6.87	2.118	15	y	NA	11	10.7	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.37024374146786	1.1314021114911	3.87298334620742	5.47722557505166	1.92716410623426	0.750472247179215	44.3896666666667	28.5266388888889	0
66	RO003	41	35	15	j	nat	cut	RO003.15.j	76	24	n	76	7.86	0.486	18	y	NA	10	15.7	3	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.75366071235426	1.09861228866811	4.24264068711928	4.89897948556636	2.06178660644112	-0.721546655081643	44.3896666666667	28.5266388888889	0
67	RO003	4	5	9	e	nat	cut	RO003.9.e	76	0	y	76	7.58	0.713	14	n	NA	10	11.6	2.8	NA	NA	69	NA	NA	NA	NA	NA	NA	69	1	23	NA			3.16227766016838	2.45100509811232	1.02961941718116	3.74165738677394	0	2.02551319965428	-0.338273858567841	44.3896666666667	28.5266388888889	1
68	RO004	41	44	3	j	nat	cut	RO004.3.j	76	0	y	76	8.04	0.806	9	n	3.7	15	15.5	3	15	NA	10	18	1	3.7	39	1	12	69	1	37.5	NA		bolt cut	3.87298334620742	2.7408400239252	1.09861228866811	3	0	2.08442908319087	-0.215671536475509	45.5761833333333	29.51805	1
69	RO004	16	4	13	b	nat	cut	RO004.13.b	77	24	n	77	6.51	1.232	15	y	NA	9	13.7	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.61739583283408	1.28093384546206	3.87298334620742	4.89897948556636	1.87333945622048	0.208638865111328	45.5761833333333	29.51805	0
70	RO004	11	30	20	d	nat	cut	RO004.20.d	77	34	y	77	6.78	3.509	20	n	NA	12	10.1	3.2	15	NA	69	NA	NA	NA	NA	NA	NA	69	1	8.5	NA			3.46410161513775	2.31253542384721	1.16315080980568	4.47213595499958	5.8309518948453	1.9139771019523	1.25533109660108	45.5761833333333	29.51805	1
