Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log
RO004.13.b	16	4	RO004	13	b	nat	cut	RO004.13.b	77	24	n	77	6.51	1.232	15	y	NA	9	13.7	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.61739583283408	1.28093384546206	3.87298334620742	4.89897948556636	1.87333945622048	0.208638865111328
TR003.24.b	16	5	TR003	24	b	nat	cut	TR003.24.b	77	6	n	77	2.85	0.079	13	n	NA	7	8.1	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.09186406167839	0.262364264467491	3.60555127546399	2.44948974278318	1.04731899428056	-2.53830742651512
RO001.6.j	16	6	RO001	6	j	nat	cut	RO001.6.j	77	8	n	77	6.3	0.843	16	y	NA	12	15.5	3.2	NA	NA	53	NA	NA	NA	53	1	9	69	1	39.5	NA			3.46410161513775	2.7408400239252	1.16315080980568	4	2.82842712474619	1.84054963339749	-0.170788320980282
BG001.25.h	16	8	BG001	25	h	nat	cut	BG001.25.h	77	0	n	77	6.84	1.666	21	n	NA	13	11.2	2.9	NA	NA	38	NA	NA	NA	38	1	6.5	69	1	31.5	NA			3.60555127546399	2.41591377830105	1.06471073699243	4.58257569495584	0	1.92278773163446	0.510425543744651
UA001.25.f	16	9	UA001	25	f	nat	cut	UA001.25.f	77	30	n	77	6.76	0.793	21	n	NA	13	9.5	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.2512917986065	0.587786664902119	4.58257569495584	5.47722557505166	1.91102289005487	-0.231932057347289
GR003.10.b	16	12	GR003	10	b	nat	cut	GR003.10.b	77	14	y	77	6.92	0.947	11	y	33.3	8	13.7	3.7	15	NA	11	18	1	33.3	38	1	30.4	69	1	33	57	white		2.82842712474619	2.61739583283408	1.30833281965018	3.3166247903554	3.74165738677394	1.93441576962958	-0.0544561857960589
RO002.12.o	16	13	RO002	12	o	nat	cut	RO002.12.o	77	31	n	77	6.49	1.314	18	y	NA	10	11.6	2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.45100509811232	0.693147180559945	4.24264068711928	5.56776436283002	1.870262530716	0.273075920062419
US011.8.g	16	14	US011	8	g	inv	cut	US011.8.g	77	26	n	77	8.32	1.39	21	y	NA	11	14.9	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.70136121295141	1.70474809223843	4.58257569495584	5.09901951359278	2.11866225483312	0.3293037471426
TR001.24.i	16	15	TR001	24	i	nat	cut	TR001.24.i	77	30	n	77	8.66	1.026	16	n	NA	8	17	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.83321334405622	1.1314021114911	4	5.47722557505166	2.15871472257434	0.0256677467485778
UA004.18.b	16	16	UA004	18	b	nat	cut	UA004.18.b	77	31	n	77	6.17	1.157	19	y	NA	13	14.8	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.69462718077007	0.832909122935104	4.35889894354067	5.56776436283002	1.8196988379173	0.14583044821154
RU004.8.a	16	17	RU004	8	a	nat	cut	RU004.8.a	77	23	n	77	6.46	0.67	17	n	NA	8	13.1	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.57261223020711	0.741937344729377	4.12310562561766	4.79583152331272	1.86562931779451	-0.400477566597125
CA001.3.j	16	18	CA001	3	j	inv	cut	CA001.3.j	77	34	y	77	6.58	2.563	20	y	NA	13	17.3	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.85070650150373	1.30833281965018	4.47213595499958	5.8309518948453	1.88403474533723	0.941178447381934
RU003.3.b	16	19	RU003	3	b	nat	cut	RU003.3.b	77	28	n	77	8.29	0.966	18	n	NA	12	12.8	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.54944517092557	0.916290731874155	4.24264068711928	5.29150262212918	2.1150499691472	-0.0345914447696191
