Rack	Pos	PopID	Mom	Indiv	Origin	Trt	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2
US015.13.k	13	11	US015	13	k	inv	nut def	15	15.6	4.8	y	NA
TR004.8.h	13	12	TR004	8	h	nat	nut def	13	18.5	4.6	y	NA
RO001.6.b	13	14	RO001	6	b	nat	nut def	16	18.1	4.8	y	NA
UA003.6.e	13	15	UA003	6	e	nat	nut def	9	21.7	5	y	NA
RU002.7.b	13	16	RU002	7	b	nat	nut def	16	20.8	4.9	y	NA
RO004.12.a	13	17	RO004	12	a	nat	nut def	15	18.9	3.4	y	NA
RO003.9.j	13	18	RO003	9	j	nat	nut def	14	17.6	3.6	y	NA
UA001.25.h	13	19	UA001	25	h	nat	nut def	18	17.8	5.6	y	NA
RU008.16.i	13	20	RU008	16	i	nat	nut def	10	16	3.9	y	NA
RO005.25.c	13	22	RO005	25	c	nat	nut def	16	16.8	2.9	y	NA
RU005.6.f	13	23	RU005	6	f	nat	nut def	16	23.5	4.3	y	NA
US001.3.a	13	26	US001	3	a	inv	nut def	11	24.9	5.2	y	NA
US021.8.k	13	28	US021	8	k	inv	nut def	16	16.5	5.6	y	NA
US023.41.e	13	29	US023	41	e	inv	nut def	14	20.7	5.7	y	NA
GR003.10.c	13	30	GR003	10	c	nat	nut def	9	19.8	5.3	y	NA
US011.8.a	13	31	US011	8	a	inv	nut def	12	17.4	4.6	y	NA
US014.16.k	13	32	US014	16	k	inv	nut def	14	16.7	3.5	y	NA
BG001.25.i	13	34	BG001	25	i	nat	nut def	16	17.4	5.6	y	NA
RU001.7.b	13	35	RU001	7	b	nat	nut def	15	19.4	4.6	y	NA
US002.17.b	13	37	US002	17	b	inv	nut def	15	15.6	4.4	y	NA
UA004.15.c	13	38	UA004	15	c	nat	nut def	18	21.7	3.6	y	NA
HU001.5.h	13	41	HU001	5	h	nat	nut def	12	13	2.5	y	NA
GR001.26.e	13	43	GR001	26	e	nat	nut def	17	16.2	4.3	y	NA
CA008.2.a	13	44	CA008	2	a	inv	nut def	19	12.4	3.8	y	NA
CA007.1.a	13	46	CA007	1	a	inv	nut def	18	14.4	3.2	y	NA
US003.28.j	13	48	US003	28	j	inv	nut def	13	17.4	4	y	NA
RU005.6.b	13	49	RU005	6	b	nat	nut def	16	15	4	y	NA
GR002.17.c	13	50	GR002	17	c	nat	nut def	19	15.9	2	y	NA
GR001.28.h	16	3	GR001	28	h	nat	cut	14	NA	NA	n	NA
RO004.13.b	16	4	RO004	13	b	nat	cut	15	NA	NA	y	NA
TR003.24.b	16	5	TR003	24	b	nat	cut	13	NA	NA	n	NA
RO001.6.j	16	6	RO001	6	j	nat	cut	16	NA	NA	y	NA
BG001.25.h	16	8	BG001	25	h	nat	cut	21	NA	NA	n	NA
UA001.25.f	16	9	UA001	25	f	nat	cut	21	NA	NA	n	NA
GR003.10.b	16	12	GR003	10	b	nat	cut	11	NA	NA	y	33.3
RO002.12.o	16	13	RO002	12	o	nat	cut	18	NA	NA	y	NA
US011.8.g	16	14	US011	8	g	inv	cut	21	NA	NA	y	NA
